subjid	cond	time	pair	PVCLR	PVCUD	PVC2D	MeansqLR	MeansqUD	Meansq2D
1	cp	base	1	71.6650	69.6450	21.6350	0.0515	0.0863	0.2208
1	cp	eval	2	88.7400	94.1200	60.2950	0.0473	0.0663	0.1447
2	cp	base	1	72.3800	40.0650	21.2100	0.0616	0.0834	0.1760
2	cp	eval	2	59.8050	79.1700	38.7700	0.0487	0.0706	0.1762
3	cp	base	1	72.2250	39.7400	25.1650	0.0938	0.0642	0.1536
3	cp	eval	2	91.1750	89.1650	56.4700	0.0312	0.0380	0.1129
4	cp	base	1	52.5000	40.1950	25.0000	0.1039	0.0831	0.1421
4	cp	eval	2	86.3650	75.1250	58.5300	0.0537	0.0589	0.1335
5	cp	base	1	57.1430	75.7350	31.9300	0.0658	0.0810	0.1421
5	cp	eval	2	69.0350	70.8350	35.8250	0.0353	0.0688	0.1654
6	cp	base	1	81.2850	70.6250	50.0000	0.0553	0.0794	0.1726
6	cp	eval	2	80.2100	67.2550	43.6950	0.0843	0.0715	0.1382
7	cp	base	1	47.2200	47.4840	33.0350	0.0948	0.0423	0.1853
7	cp	eval	2	72.1150	86.6650	48.7150	0.0414	0.0500	0.1201
8	cp	base	1	55.8950	70.2350	50.8550	0.0839	0.0634	0.1445
8	cp	eval	2	76.0400	79.5150	52.1000	0.0635	0.0721	0.1004
9	cp	base	1	80.1130	45.5880	42.2790	0.0419	0.1000	0.1590
9	cp	eval	2	100.0000	94.4450	63.9350	0.0299	0.0429	0.1018
10	cp	base	1	70.5900	67.3600	28.7950	0.0892	0.0677	0.1461
10	cp	eval	2	81.6200	62.9100	48.3350	0.0584	0.0727	0.1086
11	cp	base	1	35.0000	45.3450	23.8740	0.0640	0.0718	0.1488
11	cp	eval	2	52.7800	83.9200	40.0000	0.0573	0.0739	0.1487
12	dt	base	3	41.4600	58.3350	27.5750	0.0609	0.0912	0.1760
12	dt	eval	4	69.4750	60.7150	25.8350	0.1057	0.0686	0.1725
13	dt	base	3	67.5350	64.9350	33.3350	0.0658	0.0662	0.1465
13	dt	eval	4	80.7850	77.7100	31.9450	0.0502	0.0583	0.1358
14	dt	base	3	59.6950	33.9285	24.3575	0.0831	0.0831	0.1588
14	dt	eval	4	47.7600	81.6750	20.6300	0.0707	0.0598	0.1398
15	dt	base	3	77.3800	59.4200	32.2900	0.0856	0.0884	0.1259
15	dt	eval	4	93.8850	81.1400	53.5700	0.0616	0.0808	0.1202
16	dt	base	3	66.6700	66.9200	46.5300	0.0430	0.0857	0.1851
16	dt	eval	4	70.8350	67.6150	45.4500	0.0340	0.0539	0.1211
17	dt	base	3	71.0100	50.0000	39.2300	0.0485	0.0511	0.1549
17	dt	eval	4	59.0300	68.4215	44.4400	0.0764	0.0597	0.1799
18	dt	base	3	71.1540	30.6250	39.3380	0.0674	0.0634	0.1153
18	dt	eval	4	86.1540	87.2900	49.1650	0.0440	0.0897	0.1578
19	dt	base	3	65.2800	48.1250	21.2300	0.0876	0.0846	0.1608
19	dt	eval	4	83.2800	88.2350	58.3550	0.0730	0.0393	0.1271
20	dt	base	3	62.2750	46.4300	46.1500	0.0583	0.1155	0.1387
20	dt	eval	4	86.6650	69.2300	42.5500	0.0571	0.0808	0.1683
21	dt	base	3	77.7800	58.4800	25.3950	0.0876	0.0731	0.1376
21	dt	eval	4	70.9800	61.1100	44.2310	0.1054	0.0385	0.1488
22	dt	base	3	65.4800	75.0000	38.8900	0.0333	0.0687	0.1477
22	dt	eval	4	94.8685	92.1865	77.5210	0.0449	0.0502	0.1216								
23	cps	base	5	50.0000	78.5700	19.4450	0.0689	0.0528	0.1634
23	cps	eval	6	44.23	67.31	45.45	0.045	0.0416	0.0967
24	cps	base	5	71.2150	36.5000	33.9250	0.0685	0.0641	0.1213
24	cps	eval	6	87.5	81.58	53.335	0.0563	0.03495	0.133
25	cps	base	5	65.3850	52.9400	27.5550	0.0698	0.0842	0.1966				
26	cps	base	5	56.6500	45.4050	30.9850	0.0665	0.1108	0.1563
26	cps	eval	6	46.925	46.875	33.93	0.06585	0.0569	0.14175
27	cps	base	5	62.9100	47.2050	22.4800	0.0754	0.0804	0.1590
27	cps	eval	6	68.33	92.5	45.405	0.09105	0.03065	0.1542
28	cps	base	5	76.9600	46.5300	40.5000	0.0626	0.0457	0.1233
28	cps	eval	6	67.395	73.355	42.11	0.0436	0.06585	0.12235
29	cps	base	5	65.1440	51.3160	27.1285	0.0673	0.0839	0.1714
29	cps	eval	6	62.5	55.555	29.29	0.0732235	0.061534	0.135935
30	cps	base	5	30.3570	90.5550	25.7145	0.0585	0.0767	0.1826
30	cps	eval	6	68.185	81.11	59.165	0.0587085	0.0773455	0.120735
31	cps	base	5	94.7200	73.1000	45.7720	0.0771	0.0481	0.1522
31	cps	eval	6	90	82.64	53.5715	0.0461725	0.0738715	0.13475
32	cps	base	5	78.3300	62.1350	41.1650	0.0461	0.1123	0.2125				
33	cps	base	5	73.3350	41.6650	40.5900	0.0508	0.0894	0.1642				
